word,definition
phase iv,"after a drug has been approved by the fda and is
available for use; a study that looks at how well the
drug is being used in the medical community"
phenothiazines,group of drugs used for the control of mental illness
phenylketonuria (pku),"dangerous build-up of toxic materials in the body
resulting from a genetic defect that affects metabolism"
philosophy,"idea, system, view"
phlebitis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
phlebography,x-ray of a vein or veins using a dye to outline them
phlebotomy,putting a needle into a vein to remove blood
phlectomy,surgery to remove part or all of a vein
phonocardiogram,detailed record of heart sounds
photophobia,irritation of the eye caused by light
photoretinitis,"inflammation of the back of the eye caused by strong
light"
photosensitive,disease causing
photosensitivity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
phrenic,"having to do with the mind; or having to do with a
diaphragm"
phrenopathy,mental disorder
physical examination,check-up
physician,doctor
physiological,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pia mater,inner layer of the meninges
pica,"craving, dirt or clay eating, unusual appetite"
pigmentation,colour
pilot study,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pinna,outer flap of the ear
pituitary gland,"gland that sits under the brain and makes many
hormones, including some that control other glands"
place,put
placebo,sugar pill
placebo effect,"phenomenon of improvement seen with the use of a
placebo"
placenta,tissues that provide food for the unborn baby
plantar,having to do with the sole of the foot
plasma,liquid part of blood where cells float
plasmapharesis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
plasmapheresis,"removing plasma from blood that has been drawn from
a person"
platelet,blood clotting cell
platelet count,the number of platelets in the blood
platelets,"cells that help the blood clot; a decrease can lead to
bleeding"
pleura,"thin tissue that covers the lungs and inner walls of the
chest"
pleural effusion,fluid in the chest cavity
pleurisy,lung inflammation
pleuropexy,surgery to fix the film that covers the lungs
pneumatocele,bulging of the lungs through an abnormal opening
pneumobronchotomy,incision into the lungs
pneumoconiosis,dust in the lungs
pneumocystis carinii,"type of parasite or fungus that causes pneumonia in
infants and weakened patients, such as those with
aids"
pneumonectomy,surgery to remove a lung
pneumonia,lung infection
pneumonitis,inflammation of the lungs
pneumothorax,free air in the chest cavity
podiatrist,foot doctor
podiatry,the medical department that treats problems with
poliomyelitis,polio; a disease that can make you unable to move
pollute,"dirty, poison, taint"
polyarteritis,inflammation of many arteries
polycystic kidney,kidney with many cysts in it
polydipsia,too much thirst
polymorphic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
polymyositis,inflammation of more than one muscle
polyneuritis,inflammation of several nerves
polyp,type of growth that sticks up out of tissue
polypectomy,surgery to remove a polyp
polyurethane,plastic
polyuria,too much urine being made
pons,"part of the brain through which the two sides and
different areas of the brain communicate"
porphyria,"disturbance of metabolism that can be seen as disorders
of the skin or other organs"
portion,"part, piece, share"
position,job
positron emission tomography (pet),"imaging scanner for determining cancer, heart disease,
and brain disorders"
possess,"have, own"
post,after
posterior,having to do with the back of the body
posterior lobe of the pituitary,"part of the pituitary gland that discharges oxytocin,
vasopressin, and some proteins"
postherpetic neuralgia,pain lasting after condition has healed
postictal,happening after a seizure
postpartum,after childbirth
postpone,"put off, wait, delay"
postprandial,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
potency,"strength, force, power, level, dose"
potential,possible
potentially,could be; possibly
potentiate,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
potentiation,"increase in drug action from using two drugs together
instead of using each drug alone"
potentiator,an agent that helps another agent work better
pragmatic,practical
pre,before
pre-eclampsia,"when a part of the heart (called the ventricle) pumps
earlier than expected. this can happen once or many times.
if it happens many times, you might feel palpitations."
precaution,"safeguard, caution, guard, care"
preclinical,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
preclude,"avert, prevent, shut out"
precordial,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
precursor,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
predicament,problem
predisposition,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
preeclampsia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pregnancy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pregnant/pregnancy,carrying an unborn baby
preictal,happening before a seizure
prejudicial,harmful
preliminary,early
premature infant,"infant born before it has fully developed; weight less
than 5.5 lbs"
prenatal,before birth
preoperative,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
preparedness,readiness
prepuce,"fold of skin (foreskin) that covers the penis and is
removed in circumcision"
prerogative,right
presbycusis,loss of hearing because of old age
presbyopia,problems with vision because of old age
prescription,right
present,right
presentation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
presently,"in a mome, soon"
prestigious,"famous, honored, important"
prevalence,right
prevent,right
prevention,right
previous,other; done before
primigravida,woman going through her first pregnancy
primipara,"woman who has had one pregnancy that lasted at least
20 weeks"
principal,right
principal investigator (pi),"the main individual who is responsible and accountable
for conducting a medical research study"
prior,before
probability,right
procedure,right
proceed,right
proctologist,doctor who treats disorders of the rectum and anus
proctology,the study of the disorders of the rectum and anus
proctoptosis,fallen anus protruding from the body
proctoscope,tool used to look into the rectum
prodromal,right
proficient,skilled
progestins,"type of female hormones that prepare the uterus for
pregnancy"
prognosis,"outlook, probable outcomes"
progresses,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
progression,right
prohibit,right
project,plan
projectile,right
prolapsed uterus,fallen uterus protruding from the body
proliferate,right
proliferation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
prone,lying face down
prophesize,"foretell, predict"
prophylactic,right
prophylaxis,right
proponent,supporter
propose,"offer, plan"
prospective study,study following patients forward in time
prostate,right
prostate gland,gland that makes fluid that aids movement of sperm
prostate-specific antigen (psa),"substance in blood that is measured to check for
prostate cancer"
prostatectomy,surgery to remove all or part of the prostate gland
prostatic cancer,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
prostatitis,right
prostatocystitis,"inflammation of the neck of the bladder and the
bladder"
prostatolith,stone in the prostate gland
prostatorrhea,discharge of liquid from the prostate
prosthesis,artificial body part
protein,"a complex natural substance essential to the structure
and function of all living cells and viruses"
prothrombin time,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
prothrombin time (pt),"a test of blood clotting time used to measure substances
that help the blood to clot"
